onset	duration	sample	trial_type	response_time	stim_file	value	HED
329.3700000000	n/a	n/a	n/a	n/a	n/a	2	n/a
349.8200000000	n/a	n/a	n/a	n/a	n/a	1	n/a
371.0040000000	n/a	n/a	n/a	n/a	n/a	1	n/a
467.6300000000	n/a	n/a	n/a	n/a	n/a	1	n/a
487.7580000000	n/a	n/a	n/a	n/a	n/a	1	n/a
508.0240000000	n/a	n/a	n/a	n/a	n/a	2	n/a
513.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
513.8400000000	n/a	n/a	n/a	n/a	n/a	171	n/a
517.0100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
517.6400000000	n/a	n/a	n/a	n/a	n/a	271	n/a
520.8200000000	n/a	n/a	n/a	n/a	n/a	371	n/a
527.4600000000	n/a	n/a	n/a	n/a	n/a	71	n/a
530.4380000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
534.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
534.3400000000	n/a	n/a	n/a	n/a	n/a	171	n/a
537.5100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
538.1400000000	n/a	n/a	n/a	n/a	n/a	271	n/a
541.3200000000	n/a	n/a	n/a	n/a	n/a	371	n/a
547.9600000000	n/a	n/a	n/a	n/a	n/a	71	n/a
548.8860000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
554.2400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
554.6000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
557.7400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
558.4100000000	n/a	n/a	n/a	n/a	n/a	271	n/a
561.5500000000	n/a	n/a	n/a	n/a	n/a	371	n/a
568.2300000000	n/a	n/a	n/a	n/a	n/a	71	n/a
570.6300000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
574.8400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
575.1700000000	n/a	n/a	n/a	n/a	n/a	171	n/a
578.3400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
578.9800000000	n/a	n/a	n/a	n/a	n/a	271	n/a
582.1500000000	n/a	n/a	n/a	n/a	n/a	371	n/a
588.8100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
590.2180000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
595.3200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
595.6900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
598.8600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
599.4900000000	n/a	n/a	n/a	n/a	n/a	271	n/a
602.6600000000	n/a	n/a	n/a	n/a	n/a	371	n/a
609.3100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
611.2420000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
615.4500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
615.7800000000	n/a	n/a	n/a	n/a	n/a	171	n/a
618.9600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
619.5900000000	n/a	n/a	n/a	n/a	n/a	271	n/a
622.7600000000	n/a	n/a	n/a	n/a	n/a	371	n/a
629.4100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
631.2380000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
635.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
636.3200000000	n/a	n/a	n/a	n/a	n/a	171	n/a
639.4900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
640.1200000000	n/a	n/a	n/a	n/a	n/a	271	n/a
643.3000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
649.9400000000	n/a	n/a	n/a	n/a	n/a	71	n/a
651.1700000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
656.3200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
656.6800000000	n/a	n/a	n/a	n/a	n/a	171	n/a
659.8200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
660.4900000000	n/a	n/a	n/a	n/a	n/a	271	n/a
663.6300000000	n/a	n/a	n/a	n/a	n/a	371	n/a
670.3000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
671.2320000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
676.4800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
676.8200000000	n/a	n/a	n/a	n/a	n/a	171	n/a
679.9900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
680.6200000000	n/a	n/a	n/a	n/a	n/a	271	n/a
683.7900000000	n/a	n/a	n/a	n/a	n/a	371	n/a
690.4400000000	n/a	n/a	n/a	n/a	n/a	71	n/a
691.6660000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
696.7800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
697.1100000000	n/a	n/a	n/a	n/a	n/a	171	n/a
700.2900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
